R2,Median_Q_Error,Mean_Q_Error,Q_Error_P90,Feature,Year
0.9635696453107592,1.107492321523032,1.8913542176313678,1.323327263911949,baseAdmissionRanking(TYT),Year_2024
0.6863402704345973,1.1922033024639043,inf,2.173313686789909,outOfCityStudentRate,Year_2024
0.6919807451070323,1.0599227312232267,1.0930169820387303,1.1789181705727592,avgOrderofPreference,Year_2024
0.9156107168162101,1.097276923582178,inf,1.611001337213617,top3AdmittedRatio,Year_2024
0.9647830282494341,1.0327744492166977,1.0455455124243986,1.0650425260638419,baseScore,Year_2024
0.9555905519410302,1.032575459675951,1.0417794799698037,1.06506578133298,topScore,Year_2024
0.8916650415571706,1.1183103944616064,inf,1.4872103629259366,totalStudentNumber,Year_2024
0.9056565482043147,1.3838207297129175,inf,2.2503259976704917,Urap_Rank,Year_2024
0.8844412312276415,1.114872328574702,inf,1.1456691564218238,Urap_Score,Year_2024
0.9870493415625066,1.0333609930838725,inf,2.4450237488876585,avg_monthly_income_group,Year_2024
0.9839348194137825,1.0110890886299573,1.0218246861790286,1.0646080212431852,Time_for_employment,Year_2024
0.9482681055151547,1.0037183599192516,1.014606853947388,1.0550715231272187,employment_rate,Year_2024
0.9788599131660577,1.0283822650001162,1.209258062839754,1.4776534170043523,quota,Year_2024
0.9812395266955424,1.0313353706962929,inf,1.3066016088588865,occupiedSlots,Year_2024
0.8366274404575997,1.229206372284479,inf,,tuitionFee,Year_2024
0.9691462312616134,1.8807895551083282,inf,,profCount,Year_2024
0.9414441778473971,1.7927354582324684,inf,,assoCount,Year_2024
0.91634836738028,1.397403978509841,inf,3.1286097695071122,docCount,Year_2024
0.9761760100112422,1.2589207352624512,2.5799060232256434,1.435713921939558,topRanking,Year_2024
0.9798337684140327,1.0863897058476406,1.6860992319181114,1.3134468668707262,avgAdmissionRanking(TYT),Year_2024
0.9915449888395759,1.078955465476866,inf,1.7371530153420511,stdDeviationStudents,Year_2024
0.920680600832362,1.0668675808663388,inf,,revenue,Year_2024
0.721639046455606,1.334266650857568,inf,2.5603401394856578,totalPreference,Year_2024
0.7712680534335519,1.2386606106927291,inf,2.138142963421756,top1PreferenceRatio,Year_2024
0.9230707942603905,1.0497311137739938,1.0790987583368987,1.1874191928381765,avgAdmittedStudentPrefOrder,Year_2024
0.8449534531363629,1.2922331208794788,inf,,top1AdmittedRatio,Year_2024
0.9383442278711518,1.0219957092819443,inf,1.0974695058375348,top10AdmittedRatio,Year_2024
0.9644495416065759,1.1061915340783315,inf,1.4423736017494722,admittedTotalPref,Year_2024
0.9353890647160039,1.275539270414881,inf,2.5169335416022753,admittedTotalDepartmentPref,Year_2024
0.40454578162069355,1.3749570127913255,3.3969583714306046,4.0937336952455565,currentStudentCount,Year_2024
0.9516479282123635,1.1627872625046227,inf,2.430624493097855,totalForeignStudents,Year_2024
0.9807615222835651,1.1108959199132835,1.85537141226799,1.2495961100862008,baseRanking,Year_2024
